"Site","Element","Model","Rank_site","Robustness_score","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"KER3","Mn","WLS",7,0.020690759835217,0.64171449487873,0.57661174033931,108.962939644912,0.00183863129941915,0.0489689526389138,1889
"KER3","Mn","WLS_weighted",8,0.0138995572840465,0.642027836746649,0.576359544649593,109.653909631702,0,0.0347488932101162,1889
"KER3","Sr","RF",1,0.829792061677077,0.721982836872426,0.326271842029504,43.1095883838837,0.716320102795128,1,1739
"KER3","Sr","PLS_LOO",2,0.695406741545526,0.681443929954195,0.349250256346248,60.5526521980026,0.840932753624464,0.477117723427119,1739
"KER3","Sr","PLS_kfold",3,0.695406741545526,0.681443929954195,0.349250256346248,60.5526521980026,0.840932753624464,0.477117723427119,1739
"KER3","Sr","Bayes",4,0.6,0.719033486991341,0.327997906598047,49.7050467588939,1,0,1739
"KER3","Sr","OLS",5,0.475842660584638,0.605940022011523,0.388440903375382,59.7735590156883,0.666400836593836,0.19000539657084,1846
"KER3","Sr","OLS_weighted",6,0.26132966983889,0.588442221601662,0.396971381054182,68.563181097856,0,0.653324174597226,1846
"KER3","Sr","WLS_weighted",7,0.161671781463358,0.605197017350042,0.38880693583257,61.616501941787,0.0902698545993416,0.268774671759381,1846
"KER3","Sr","WLS",8,0.116852359739527,0.605899324973479,0.388460961218056,59.3656290640811,0.0795052795606609,0.172872980007825,1846
"KER3","Ti","OLS_weighted",1,0.840630495143242,0.718555763474536,0.652933928562262,2173.73266969499,0.76719176778391,0.95078858618224,1984
"KER3","Ti","RF",2,0.823742210190164,0.758515868218349,0.604807761433501,1540.05877513209,0.870260614278571,0.753964604057553,1739
"KER3","Ti","OLS",3,0.822354127673517,0.729930592021033,0.639603384224678,2035.54425020404,0.784172764672986,0.879626172174314,1984
"KER3","Ti","PLS_LOO",4,0.690649841563267,0.754035431978301,0.610392701137588,2029.36926987965,0.916922105493028,0.351241445668626,1739
"KER3","Ti","PLS_kfold",5,0.690649841563267,0.754035431978301,0.610392701137588,2029.36926987965,0.916922105493028,0.351241445668626,1739
"KER3","Ti","Bayes",6,0.6,0.769067236846491,0.591446999353038,1783.30513592537,1,0,1739
"KER3","Ti","WLS_weighted",7,0.403487117406114,0.72919658362992,0.640471967780676,1893.08238585334,0.0157153119581914,0.985144825577999,1984
"KER3","Ti","WLS",8,0.4,0.728935134347202,0.640781067535794,1882.89538666468,0,1,1984
"KER3","Zr","PLS_LOO",1,0.6,0.697291605179832,0.723047851394819,93.2499291193699,1,0,1739
"KER3","Zr","PLS_kfold",2,0.6,0.697291605179832,0.723047851394819,93.2499291193699,1,0,1739
"KER3","Zr","OLS",3,0.550709891416705,0.608456680906178,0.822327315016661,148.16046066862,0.821508674441074,0.144511716880152,2000
"KER3","Zr","RF",4,0.547964872094299,0.76427923472626,0.638048553639218,43.5303797063521,0.246608120157165,1,1739
"KER3","Zr","Bayes",5,0.500138169073701,0.723503699572672,0.691034085621477,78.0488237943269,0.723469703661153,0.165140867192522,1739
"KER3","Zr","WLS_weighted",6,0.406791010651433,0.608229412035276,0.822565937768544,162.575252795128,0.603348505255573,0.111954768745222,2000
"KER3","Zr","WLS",7,0.28548105159353,0.608323185716187,0.822467487738816,159.077231156446,0.396288627261083,0.1192696880922,2000
"KER3","Zr","OLS_weighted",8,0.0291659521635391,0.401191970178938,1.01694769214115,153.784821913486,0,0.0729148804088477,2000
"PB1","Ca","RF",1,0.891052738988314,0.734447503581713,0.366697885888916,4496.46080402109,0.81842123164719,1,930
"PB1","Ca","PLS_LOO",2,0.88584711109302,0.714591218855023,0.380160401230266,5060.00126868248,0.822418141305426,0.98099056577441,930
"PB1","Ca","PLS_kfold",3,0.88584711109302,0.714591218855023,0.380160401230266,5060.00126868248,0.822418141305426,0.98099056577441,930
"PB1","Ca","Bayes",4,0.768739543482014,0.71849446314204,0.377551919451181,4920.26934220119,0.861811831012461,0.629131112186343,930
"PB1","Ca","OLS_weighted",5,0.6,0.60078407376705,0.449611220751241,5620.88386479327,1,0,970
"PB1","Ca","OLS",6,0.497569088465528,0.605349695781694,0.447032844459699,5504.63271481712,0.812491924675323,0.0251848341508358,970
"PB1","Ca","WLS_weighted",7,0.0583403344493799,0.604732452698864,0.447382293228408,5447.03371534874,0.00593467690114087,0.136948820771739,970
"PB1","Ca","WLS",8,0.0564755621915961,0.604685117514639,0.447409080513934,5446.04597912254,0,0.14118890547899,970
"PB1","Fe","Bayes",1,0.702266362267133,0.782666025570093,0.531874559979908,13054.643263387,0.503777270445222,1,930
"PB1","Fe","OLS_weighted",2,0.6,0.705011398870254,0.619652240442579,19165.0781241486,1,0,970
"PB1","Fe","RF",3,0.55506035088331,0.80053438105373,0.509541347860933,18195.5344182785,0.471992697543602,0.679661830892874,930
"PB1","Fe","PLS_LOO",4,0.412374215325488,0.769588412151896,0.547643031052147,12699.4253247054,0.488051851337207,0.29885776130791,930
"PB1","Fe","PLS_kfold",5,0.412374215325488,0.769588412151896,0.547643031052147,12699.4253247054,0.488051851337207,0.29885776130791,930
"PB1","Fe","OLS",6,0.298586602255717,0.711860213839782,0.612416695598065,19046.317786508,0.456607528229677,0.0615552132947764,970
"PB1","Fe","WLS_weighted",7,0.0625966074756373,0.711404682307114,0.612900601250386,19121.2837499281,0.00776638615773503,0.144841939452491,970
"PB1","Fe","WLS",8,0.0571339869631549,0.711426381771426,0.612877558837851,19118.97376675,0,0.142834967407887,970
"PB1","Mn","RF",1,0.864341063608777,0.698151148146781,0.529253362135368,99.3730994626993,0.773901772681295,1,930
"PB1","Mn","Bayes",2,0.689755400393206,0.675458563365959,0.54878715622519,106.167683499791,1,0.224388500983015,930
"PB1","Mn","PLS_LOO",3,0.66608868279635,0.652472643614871,0.567888873609633,106.37886834467,0.893114324041332,0.325550220928876,930
"PB1","Mn","PLS_kfold",4,0.66608868279635,0.652472643614871,0.567888873609633,106.37886834467,0.893114324041332,0.325550220928876,930
"PB1","Mn","OLS",5,0.55389431314549,0.642325781154841,0.576119639333299,111.776118917736,0.923157188575816,0,948
"PB1","Mn","OLS_weighted",6,0.126001984653363,0.621575234052913,0.592595892589243,115.442539169045,0.207374125611226,0.00394377321656818,948
"PB1","Mn","WLS",7,0.0480248553924225,0.64171449487873,0.57661174033931,108.962939644912,0.00436003016691406,0.113522093230685,948
"PB1","Mn","WLS_weighted",8,0.0316225071943594,0.642027836746649,0.576359544649593,109.653909631702,0,0.0790562679858984,948
"PB1","Sr","RF",1,0.740847704366376,0.721982836872426,0.326271842029504,43.1095883838837,0.994947875203744,0.359697448110326,930
"PB1","Sr","OLS",2,0.721532076470866,0.605940022011523,0.388440903375382,59.7735590156883,0.692309159376967,0.765366452111713,948
"PB1","Sr","Bayes",3,0.6,0.719033486991341,0.327997906598047,49.7050467588939,1,0,930
"PB1","Sr","PLS_LOO",4,0.587730177149889,0.681443929954195,0.349250256346248,60.5526521980026,0.819350805802775,0.240299234170559,930
"PB1","Sr","PLS_kfold",5,0.587730177149889,0.681443929954195,0.349250256346248,60.5526521980026,0.819350805802775,0.240299234170559,930
"PB1","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,948
"PB1","Sr","WLS_weighted",7,0.387611228193472,0.605197017350042,0.38880693583257,61.616501941787,0.0952091540137474,0.82621433946306,948
"PB1","Sr","WLS",8,0.350307322806887,0.605899324973479,0.388460961218056,59.3656290640811,0.0827607449225406,0.751627189633407,948
"PB1","Ti","RF",1,0.904893818036522,0.758515868218349,0.604807761433501,1540.05877513209,0.841489696727536,1,930
"PB1","Ti","PLS_LOO",2,0.621914871690139,0.754035431978301,0.610392701137588,2029.36926987965,1,0.0547871792253467,930
"PB1","Ti","PLS_kfold",3,0.621914871690139,0.754035431978301,0.610392701137588,2029.36926987965,1,0.0547871792253467,930
"PB1","Ti","Bayes",4,0.612201282026449,0.769067236846491,0.591446999353038,1783.30513592537,0.978498055999141,0.0627561210674116,930
"PB1","Ti","OLS",5,0.575593443554683,0.729930592021033,0.639603384224678,2035.54425020404,0.882538007816824,0.115176597161471,969
"PB1","Ti","OLS_weighted",6,0.477509500159093,0.718555763474536,0.652933928562262,2173.73266969499,0.795849166931822,0,969
"PB1","Ti","WLS",7,0.140833882328178,0.728935134347202,0.640781067535794,1882.89538666468,0,0.352084705820446,969
"PB1","Ti","WLS_weighted",8,0.138108608660538,0.72919658362992,0.640471967780676,1893.08238585334,0.0172079714098461,0.319459564536576,969
"PB1","Zr","RF",1,0.822566317212816,0.76427923472626,0.638048553639218,43.5303797063521,0.704277195354694,1,930
"PB1","Zr","Bayes",2,0.662337639058083,0.723503699572672,0.691034085621477,78.0488237943269,1,0.155844097645208,930
"PB1","Zr","PLS_LOO",3,0.63652576073317,0.697291605179832,0.723047851394819,93.2499291193699,0.97434536280078,0.129796357631754,930
"PB1","Zr","PLS_kfold",4,0.63652576073317,0.697291605179832,0.723047851394819,93.2499291193699,0.97434536280078,0.129796357631754,930
"PB1","Zr","OLS",5,0.587859810944662,0.608456680906178,0.822327315016661,148.16046066862,0.969784548288085,0.0149727049295281,970
"PB1","Zr","WLS_weighted",6,0.419872927566941,0.608229412035276,0.822565937768544,162.575252795128,0.69934873700429,0.000659213410917508,970
"PB1","Zr","WLS",7,0.277681418534337,0.608323185716187,0.822467487738816,159.077231156446,0.460202391652657,0.00389995885685568,970
"PB1","Zr","OLS_weighted",8,0,0.401191970178938,1.01694769214115,153.784821913486,0,0,970
